,Algo Name,MSE,RMSE,MAE,R2
0,Linear Regression,28.33487038064859,5.323050852720514,4.266711846071956,0.8743172040139593
1,Lasso,43.46106018771194,6.592500298650879,5.205260274468427,0.8072231322208645
2,Ridge,28.3377417910889,5.3233205606171135,4.265005112727165,0.8743044675204545
3,AdaBoostRegressor,34.253695407660366,5.852665666827413,4.783495270689188,0.8480635290066778
4,RandomForestRegressor,5.2286083205073695,2.2866150354852848,1.81611875,0.976807865926006
5,GradientBoostingRegressor,21.408568924292386,4.626939477050936,3.7226324042651147,0.9050396644022572
6,CatBoostRegressor,9.257805405523678,3.042664195326799,2.405393926779502,0.9589358676277713
7,XGBRegressor,1.0146163961652577,1.0072816866027385,0.6874666035175323,0.9954995444196413
8,KNeighborsRegressor,32.4995,5.700833272426058,4.5125,0.8558444780838687
9,DecisionTreeRegressor,0.078125,0.2795084971874737,0.01875,0.9996534669718089
